tracking_id,class,source,first_seen,last_seen,time,status
70533,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70537,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70553,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70567,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70578,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70590,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70604,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70617,truck,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70633,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70645,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70659,truck,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70673,bus,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70687,truck,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70713,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70729,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70754,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70788,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
70815,car,License_Plate_Detection_Test_1080p.mp4,7,7,2026-04-06 01:37:50,active
73526,car,License_Plate_Detection_Test_1080p.mp4,21,21,2026-04-06 01:37:53,active
75826,car,License_Plate_Detection_Test_1080p.mp4,35,35,2026-04-06 01:37:55,active
77123,bus,License_Plate_Detection_Test_1080p.mp4,42,42,2026-04-06 01:37:57,active
77137,bus,License_Plate_Detection_Test_1080p.mp4,42,42,2026-04-06 01:37:57,active
78196,car,License_Plate_Detection_Test_1080p.mp4,49,49,2026-04-06 01:37:58,active
79230,truck,License_Plate_Detection_Test_1080p.mp4,56,56,2026-04-06 01:37:59,active
80279,car,License_Plate_Detection_Test_1080p.mp4,63,63,2026-04-06 01:38:00,active
86286,car,License_Plate_Detection_Test_1080p.mp4,105,105,2026-04-06 01:38:06,active
87393,car,License_Plate_Detection_Test_1080p.mp4,112,112,2026-04-06 01:38:07,active
88492,bus,License_Plate_Detection_Test_1080p.mp4,119,119,2026-04-06 01:38:08,active
